countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Albany,2134,4,0.18744142455482662,534,1,0.18726591760299627,-0.09363295880149518
Allegany,283,0,0,41,0,0,NA
Bronx,5544,2,0.03607503607503607,110,2,1.8181818181818181,4940
Broome,1083,1,0.09233610341643583,255,0,0,NA
Cattaraugus,406,3,0.7389162561576355,68,1,1.4705882352941178,99.01960784313727
Cayuga,409,1,0.24449877750611246,130,2,1.5384615384615385,529.2307692307693
Chautauqua,660,0,0,181,0,0,NA
Chemung,428,0,0,253,0,0,NA
Chenango,231,0,0,97,1,1.0309278350515463,NA
Clinton,392,0,0,112,0,0,NA
Columbia,380,1,0.2631578947368421,123,0,0,NA
Cortland,265,0,0,75,0,0,NA
Delaware,232,0,0,117,0,0,NA
Dutchess,1808,0,0,361,3,0.8310249307479224,NA
Erie,4802,6,0.12494793835901707,571,2,0.3502626970227671,180.32691185055458
Essex,206,0,0,65,1,1.5384615384615385,NA
Franklin,248,0,0,77,0,0,NA
Fulton,262,0,0,33,0,0,NA
Genesee,449,1,0.22271714922049,167,1,0.5988023952095808,168.86227544910176
Greene,338,0,0,86,0,0,NA
Hamilton,39,1,2.5641025641025643,11,0,0,-99.99999999999999
Herkimer,266,0,0,155,0,0,NA
Jefferson,731,0,0,197,0,0,NA
Kings,9016,9,0.09982253771073647,105,0,0,NA
Lewis,156,0,0,57,0,0,NA
Livingston,428,0,0,141,0,0,NA
Madison,269,1,0.37174721189591076,180,1,0.5555555555555556,49.44444444444446
Monroe,4749,2,0.042114129290376924,783,2,0.2554278416347382,506.5134099616858
Montgomery,319,2,0.6269592476489029,44,0,0,NA
Nassau,10053,8,0.07957823535263106,823,2,0.24301336573511542,205.37667071688938
New york,5588,3,0.05368647100930565,47,2,4.25531914893617,7826.241134751775
Niagara,934,0,0,192,1,0.5208333333333334,NA
Oneida,974,1,0.1026694045174538,235,0,0,NA
Onondaga,3100,2,0.06451612903225806,470,0,0,NA
Ontario,752,0,0,225,1,0.4444444444444444,NA
Orange,2338,4,0.1710863986313088,475,1,0.21052631578947367,23.052631578947363
Orleans,138,0,0,41,0,0,NA
Oswego,514,1,0.19455252918287938,106,0,0,-100.00000000000001
Otsego,336,1,0.2976190476190476,74,0,0,NA
Putnam,530,0,0,85,0,0,NA
Queens,10560,6,0.056818181818181816,111,6,5.405405405405405,9413.513513513515
Rensselaer,898,0,0,395,0,0,NA
Richmond,1563,0,0,25,1,4,NA
Rockland,1824,2,0.10964912280701754,385,0,0,NA
Saratoga,1148,2,0.17421602787456447,311,1,0.3215434083601286,84.56591639871382
Schenectady,899,3,0.3337041156840934,265,0,0,-99.99999999999999
Schoharie,122,0,0,52,0,0,NA
Schuyler,120,0,0,41,0,0,NA
Seneca,279,0,0,54,0,0,NA
St. lawrence,634,0,0,118,0,0,NA
Steuben,612,1,0.16339869281045752,160,0,0,-99.99999999999999
Suffolk,9974,7,0.07018247443352717,1218,1,0.08210180623973727,16.983345062162797
Sullivan,450,0,0,121,0,0,NA
Tioga,259,0,0,88,0,0,NA
Tompkins,577,1,0.1733102253032929,124,2,1.6129032258064515,830.6451612903224
Ulster,1096,1,0.09124087591240876,352,1,0.2840909090909091,211.36363636363637
Warren,429,0,0,112,0,0,NA
Washington,261,2,0.7662835249042146,54,0,0,NA
Wayne,507,1,0.19723865877712032,105,0,0,NA
Westchester,5615,2,0.03561887800534283,556,3,0.539568345323741,1414.8381294964029
Wyoming,243,1,0.411522633744856,55,0,0,NA
Yates,167,0,0,73,0,0,NA
